player,singles,doubles,triples,homeruns,strikes
rentr001,10,9,2,2,4
blazr001,2,0,0,0,1
mccll001,37,7,1,7,24
mussm001,1,1,0,0,1
schic002,5,2,1,0,15
schic001,1,2,0,1,6
hallj001,4,1,0,1,3
willj001,3,1,0,1,5
harrd001,3,2,0,1,3
colem001,3,1,0,0,11
stepg001,2,1,0,0,18
bergp001,9,2,0,0,6
waind001,0,0,0,0,1
gutir001,42,6,4,3,35
matof001,6,1,0,0,2
rosep002,2,0,0,0,9
pennw001,6,1,0,0,6
clarm002,6,2,0,1,2
clarm001,0,0,0,0,10
durhr001,87,27,6,7,87
mosqj001,1,1,0,0,2
benns001,0,0,0,0,1
brogr001,100,27,2,22,111
scotd001,3,0,0,0,2
beltr001,1,1,0,0,1
seitk001,124,34,3,5,57
howat001,69,15,2,3,38
ventr001,110,23,1,26,98
marte001,124,53,1,29,90
johnb002,41,9,3,3,40
boltt001,0,0,0,0,5
rowlr001,4,1,0,9,11
montr003,14,4,1,1,19
gunde001,0,0,0,0,4
ingrr001,1,0,0,0,1
whitd002,8,2,2,1,15
whitd003,7,2,0,1,7
goodd001,11,3,2,1,10
whitd001,83,23,5,10,98
bailm001,4,1,0,1,2
sabeb001,6,1,0,0,12
molip001,101,31,2,15,59
maurr001,2,1,0,0,6
aloum001,71,22,5,14,58
baugj001,41,9,1,1,37
farmm001,4,0,0,0,0
lomas001,0,0,0,0,2
robeb002,77,14,3,2,36
scher001,1,0,0,0,2
tolej001,10,4,0,1,9
darev001,0,0,0,0,3
malos001,0,0,0,0,1
drank001,9,1,0,1,12
castr002,7,4,0,2,14
belck001,2,1,0,0,6
garcg001,3,2,0,2,13
jackb001,10,4,1,3,25
housw001,1,1,0,0,3
romee001,13,3,0,0,5
blakc001,8,2,0,1,7
rossr001,9,6,1,1,1
gardc001,0,0,0,0,2
blanl001,42,8,1,3,47
reyna001,4,2,0,1,11
bookr001,11,1,2,0,8
wedge001,1,2,0,5,3
guzmc001,85,12,3,1,93
butlr001,17,9,1,0,8
maldc001,25,16,1,9,50
butlr002,3,1,3,7,3
murre001,100,21,1,21,67
swing001,9,4,0,0,10
klasd001,16,2,1,3,34
hernj002,0,0,0,0,1
pattj001,40,5,3,1,42
strim001,0,0,0,0,3
tramb001,19,5,1,4,35
yelde001,59,11,1,1,55
rosav001,1,0,0,0,1
ayraj001,1,0,0,0,1
delgw001,1,1,1,0,2
nitkc001,2,0,0,0,6
witaj001,0,0,0,0,4
spieb001,13,2,1,8,16
garcf001,7,1,1,3,17
hansd001,47,11,2,1,28
birkm001,2,0,0,0,1
walkc001,86,10,1,6,61
minob001,1,1,0,0,8
karls001,3,2,1,2,3
castf001,6,0,0,0,25
hendr001,85,31,1,9,67
hendr002,0,0,0,0,1
ritzk001,10,1,0,1,20
browb003,21,7,1,5,30
polic001,1,0,0,0,9
livis001,51,17,1,5,23
campm001,1,2,0,0,1
woodc001,5,1,0,0,6
boydj001,0,0,0,0,1
spris001,2,1,0,0,6
telgd001,2,1,0,0,3
ayalb002,1,1,0,0,7
bowij001,5,0,0,0,2
menef001,2,0,0,0,4
jimej001,1,0,1,0,4
gulam001,0,0,0,0,5
kingg001,19,2,0,0,1
canag001,1,2,0,3,6
carrm002,28,7,0,0,32
rodrc001,8,2,1,1,2
ramok001,1,0,0,0,0
clarj002,25,8,3,3,12
clarj001,80,18,1,28,136
easld001,62,14,2,4,48
singd001,3,1,0,0,10
klins001,0,0,0,0,4
tinsl001,76,17,1,7,76
klins002,0,0,0,0,1
barrt003,41,12,1,4,40
carep001,9,1,0,0,14
traxb001,0,1,0,0,4
leder001,13,5,2,1,30
alfoa001,0,0,0,0,3
corrr001,3,1,1,0,5
ayrab001,0,0,0,0,2
knorr001,18,8,1,3,29
dejem001,0,1,0,0,1
ramia001,48,9,1,6,74
virgo001,0,0,0,0,3
hatcb001,87,1,3,4,1
pegus001,30,8,0,6,39
darrm001,11,1,0,2,19
oneip001,87,30,4,22,77
dempr001,28,5,0,4,21
dempr002,4,1,0,0,8
halec001,22,4,1,2,20
hares001,6,1,1,0,6
leius001,72,16,5,4,56
feblc001,7,1,2,10,7
sagmm001,3,2,0,1,13
abreb001,32,10,2,3,50
pulsb001,3,2,0,0,19
listp001,69,8,2,1,65
thurm002,1,0,0,0,1
thurm001,0,0,0,0,4
walkt002,28,7,1,3,30
johnj005,1,1,0,0,2
martm002,39,11,2,6,48
johnj007,0,0,0,0,1
johnj006,0,0,0,0,1
bellc001,6,2,0,1,10
menhp001,0,0,0,0,4
quanp001,6,0,0,0,24
filet001,0,0,0,0,1
barrm001,1,1,0,1,4
barrm003,4,2,3,1,6
kubej001,1,0,0,0,0
marta002,33,12,1,2,46
schad001,1,0,0,0,2
blank001,0,0,0,0,3
joneb004,1,1,0,0,14
stink001,31,8,1,4,66
joneb002,0,0,0,0,1
joneb003,9,2,0,1,25
gubac001,9,2,1,1,14
camps001,4,1,1,1,10
kommb001,3,1,0,3,9
grees001,63,31,4,15,68
grees002,3,1,0,0,5
millr002,95,17,2,16,112
millr003,6,2,0,0,3
dawkt001,1,0,0,0,4
shumt001,8,3,4,5,13
arnoj001,2,0,0,0,3
greeg001,2,1,0,0,6
mcdoo001,45,5,1,1,41
pecob001,89,23,2,6,54
andej002,2,1,0,0,2
dalem001,13,1,0,2,2
mathg001,2,1,0,0,5
wilsn001,1,0,0,2,4
womat001,139,26,9,6,111
penns001,3,1,0,0,2
berbj001,0,0,0,0,1
cairm001,6,1,5,5,3
fassj001,4,1,1,0,30
davig001,20,9,1,10,29
maask001,6,4,1,1,12
scott002,1,0,0,0,4
pendt001,114,32,1,14,89
smitz001,10,3,1,0,8
pattb001,1,1,0,0,2
gomec001,70,20,2,11,104
pereo001,4,0,0,0,10
weavj002,1,1,0,0,1
ledea001,8,6,1,2,7
dibbr001,1,0,0,0,1
randj002,9,2,9,1,17
lyons001,36,10,1,4,36
nortg001,6,2,2,9,8
reedd001,5,4,1,1,11
bross001,68,19,2,17,67
nixod001,3,2,0,0,7
rosaj001,1,0,0,0,1
jordk001,7,1,3,2,9
lillt001,1,0,0,0,1
may-d001,67,18,2,9,43
may-d002,1,0,0,0,2
cruzd001,82,26,3,2,59
leita001,6,3,0,0,26
omalt001,19,7,0,3,20
freds001,0,0,0,0,3
rodrf001,1,0,0,0,0
rodrf002,0,1,0,1,1
hernc003,2,0,0,0,0
rodrr004,1,0,0,0,2
sosaj001,3,0,0,0,2
searr001,0,0,0,0,1
blaiw001,1,1,0,0,17
telea001,2,1,1,0,6
snopc001,17,4,1,1,12
millj001,2,0,0,0,2
petec001,1,1,0,0,2
tudoj001,5,2,0,0,19
petec002,2,0,0,0,3
lennp001,26,1,1,1,1
pridc001,11,1,4,3,16
smolj001,6,3,0,1,25
castb001,6,3,1,2,17
finls001,138,23,8,10,63
willr002,2,1,2,1,3
liebm001,10,3,1,20,5
treaj001,12,2,1,3,4
gravd001,0,0,0,0,1
allrb001,25,3,0,3,36
gomew001,0,0,0,0,1
busbm001,2,0,0,0,2
herno001,1,0,0,0,5
ortid001,13,3,0,1,19
olsog002,71,25,1,6,53
olsog001,0,0,0,1,1
andeg001,88,19,1,16,65
carar001,13,4,1,2,34
phelk001,19,2,0,1,21
ordom001,12,6,2,4,9
bolif001,4,2,0,1,8
robek001,2,1,1,4,14
longt002,0,0,0,0,2
batta001,28,5,0,1,27
longt001,29,7,0,3,20
santr001,2,0,0,1,0
irabh001,1,0,0,0,3
macfm001,52,18,1,15,79
roses001,0,0,0,0,1
crawj001,0,0,0,0,5
josef001,3,1,6,8,9
nunnj001,43,15,6,14,87
moutj001,61,21,2,4,61
walkg001,7,0,0,0,12
rossj001,3,0,0,0,3
venam001,37,8,2,3,33
herrt001,51,8,1,1,34
nevip001,22,4,1,2,42
quinl001,38,5,3,4,32
lindj001,28,5,1,7,14
lindj002,28,5,6,3,15
minor001,5,1,0,3,3
wittb001,1,1,0,1,10
jordr001,54,21,3,9,49
jordr002,0,0,0,0,1
tackj001,1,3,1,2,2
washc001,18,2,1,1,25
fox-c001,0,0,0,0,2
young001,28,3,1,1,17
wallj001,1,0,0,0,1
bordm001,101,16,1,8,50
swifb001,6,1,0,1,5
foulk001,2,0,0,0,4
buhnj001,63,23,4,40,122
dascd001,50,11,1,1,27
barns001,27,13,2,5,25
sosas001,103,17,3,36,135
frymt001,122,21,5,15,103
tocaj001,1,0,0,0,2
canaw001,9,0,0,1,18
anded001,53,5,2,2,38
painl001,1,1,1,0,4
mcgur001,33,15,2,3,35
sabee001,0,0,0,0,2
wilkc001,28,9,1,2,40
aldrm001,32,8,1,4,31
mlicd001,2,3,0,0,12
reynr001,54,10,1,0,38
valdm001,2,0,0,0,9
mearp001,74,19,4,12,71
burke001,53,10,6,14,75
mcewj001,4,1,4,9,3
gwynt001,169,34,1,9,20
quirj001,50,4,1,1,30
slaud001,30,6,1,1,8
minug001,0,0,0,0,1
valdi001,6,1,0,0,26
howac001,4,1,0,0,2
hortr001,0,0,0,0,1
hemos001,13,2,0,3,33
ceror001,49,13,0,2,28
scotg001,12,3,0,1,16
devac001,2,0,1,0,3
zubej001,6,3,1,2,9
hanec001,2,0,0,0,4
watkp001,4,2,1,2,5
laruj001,13,7,0,3,33
tingr001,18,8,1,4,39
petrg001,46,10,1,2,28
palld001,0,0,0,0,1
white001,3,1,0,1,6
simmb001,6,3,3,2,2
white002,14,2,0,2,12
judej001,1,2,0,1,12
damij001,0,0,0,0,3
greec002,4,1,0,0,1
hallr001,0,0,0,0,2
websm001,7,1,1,1,14
belct001,6,2,0,1,26
chrim002,10,1,0,1,7
maysj001,0,0,0,0,1
ramim002,98,26,1,31,114
barkk001,27,4,0,3,20
parrj001,1,0,0,0,1
key-j001,0,0,0,0,2
whitr002,1,1,0,0,3
stock001,74,14,3,1,77
winsd001,1,0,0,0,1
sulls001,1,0,0,0,1
willw001,1,4,0,0,1
coacp001,12,3,0,0,7
mercj001,1,0,0,0,2
garcf002,1,0,0,0,1
barkg001,18,2,0,1,19
smitr003,87,15,3,11,112
kennt001,32,7,1,3,31
sojol001,74,18,2,7,19
lowed001,0,0,0,0,2
torvk001,8,4,0,0,1
marst001,26,4,1,3,25
hillk001,6,1,1,1,10
henlb001,24,8,1,3,29
guerj001,21,5,2,1,33
hampm001,7,1,1,0,15
petek001,3,0,0,0,9
roskj001,1,2,0,0,5
magae001,0,0,0,0,1
espyc001,19,4,3,1,18
cochd001,30,13,0,2,39
desse001,2,0,0,0,4
ponss001,2,0,0,0,2
densd001,1,0,0,0,2
davib001,1,3,4,3,3
davib003,56,14,1,5,72
hentp001,1,0,0,0,2
alfoe001,84,13,5,4,41
manwk001,84,15,2,4,75
kramr001,0,0,0,0,2
tewkb001,10,1,0,0,1
romem001,10,1,0,2,18
wardt001,29,4,1,4,22
schop001,11,2,0,1,12
violf001,7,1,0,0,1
bergs001,2,1,0,2,7
nunev001,4,0,0,0,6
