player,singles,doubles,triples,homeruns,strikes
whitr001,102,24,4,22,81
benng001,60,15,1,2,50
robeb003,94,22,4,5,63
stonr001,0,0,0,0,2
bellm003,4,0,0,2,7
laket001,27,11,0,3,40
parqj001,0,0,0,0,3
benam001,10,3,1,12,9
giamj002,17,5,2,5,43
ankir001,13,1,1,2,20
lansm001,111,19,6,11,81
stanm003,1,0,0,0,1
segud001,46,11,1,5,48
holmd001,0,0,0,0,1
vaugm001,10,2,0,3,22
turnd001,0,0,0,0,1
tejam001,113,43,1,27,65
grimj001,0,0,0,0,1
hillg001,53,9,1,27,77
neagd001,5,2,0,2,4
rigga001,7,4,1,3,11
willj002,1,0,0,0,2
hundt001,3,1,0,2,13
guilj001,94,29,2,31,100
glaut001,50,17,2,16,76
zaung001,29,8,1,4,21
byrdp001,3,0,0,0,6
gagne001,4,2,1,1,5
petta001,1,1,0,1,2
gibbj002,118,41,2,23,91
bondb001,68,22,1,45,58
cansj001,55,18,0,15,104
mckac001,18,2,0,0,14
donnc001,3,3,1,4,7
giamj001,83,28,1,41,142
browk001,8,3,0,1,29
woods001,1,0,0,0,6
joynw001,53,12,1,5,32
santf001,24,4,0,1,34
willm003,23,9,2,4,28
hairj002,45,13,2,2,25
custj001,8,7,1,4,25
estab001,14,7,3,7,56
hergm001,1,0,0,0,1
palmr001,101,24,2,38,78
shefg001,125,37,2,39,58
allec001,3,1,1,4,5
jorgr001,1,0,0,2,5
mcgwm001,36,8,0,32,79
younk001,12,4,1,2,25
franm001,25,5,4,3,26
clarh001,21,3,1,3,6
vinaf001,43,14,4,4,24
piata001,12,14,5,6,46
santb001,81,21,2,11,69
camik001,40,14,1,15,38
hiatp001,9,3,0,2,19
knobc001,92,23,2,5,51
boner001,1,0,0,0,1
franr001,1,0,0,0,1
justd001,89,34,1,41,92
clemr001,1,2,0,0,1
bigbl001,63,16,1,9,60
lodup001,133,35,2,7,59
pratt001,22,10,1,4,39
schos001,1,1,0,0,2
villr001,5,1,1,1,17
manzj001,0,0,0,0,2
merck001,0,0,0,0,1
morrh001,39,10,1,3,28
juddm001,1,0,0,0,1
belld002,45,15,2,4,43
velar001,101,23,2,12,95
